Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
14851	130	130	950	316
14861	130	130	950	316
14871	130	130	950	316
14881	130	130	950	316
14891	130	130	950	316
14901	130	130	950	316
14911	130	130	950	316
14921	130	130	950	316
15021	180	180	920	272
15031	180	180	920	272
15041	180	180	920	272
15051	180	180	920	272
15061	180	180	920	272
15071	180	180	920	272
15081	180	180	920	272
15091	180	180	920	272
15101	180	180	920	272
15111	180	180	920	272
15121	180	180	920	272
15131	180	180	920	272
15141	180	180	920	272
15151	180	180	920	272
15161	180	180	920	272
15171	180	180	920	272
15181	180	180	920	272
15191	180	180	920	272
15241	310	310	947	290
15251	310	310	947	290
15261	310	310	947	290
15271	310	310	947	290
15281	310	310	947	290
15291	310	310	947	290
15301	310	310	947	290
15311	310	310	947	290
15321	310	310	947	290
15331	310	310	947	290
15341	310	310	947	290
15351	310	310	947	290
15361	310	310	947	290
15371	310	310	947	290
15381	310	310	947	290
15391	310	310	947	290
15401	310	310	947	290
15411	310	310	947	290
15421	310	310	947	290
15431	310	310	947	290
15441	310	310	947	290
15451	310	310	947	290
15461	310	310	947	290
15471	310	310	947	290
15481	310	310	947	290
15491	310	310	947	290
15501	310	310	947	290
15511	310	310	947	290
15521	310	310	947	290
15531	310	310	947	290
15541	310	310	947	290
15571	330	330	972	285
15581	330	330	972	285
15591	330	330	972	285
15601	330	330	972	285
15611	330	330	972	285
15621	330	330	972	285
15631	330	330	972	285
15641	330	330	972	285
15651	330	330	972	285
15661	330	330	972	285
15671	330	330	972	285
15681	330	330	972	285
15691	330	330	972	285
15701	330	330	972	285
15711	330	330	972	285
15721	330	330	972	285
15731	330	330	972	285
15741	330	330	972	285
15751	330	330	972	285
15761	330	330	972	285
15771	330	330	972	285
15781	330	330	972	285
15791	330	330	972	285
15801	330	330	972	285
15811	330	330	972	285
15821	330	330	972	285
15831	330	330	972	285
15841	330	330	972	285
15851	330	330	972	285
15861	330	330	972	285
15871	330	330	972	285
15881	330	330	972	285
15891	330	330	972	285
15941	240	240	962	271
15951	240	240	962	271
15961	240	240	962	271
15971	240	240	962	271
15981	240	240	962	271
15991	240	240	962	271
16001	240	240	962	271
16011	240	240	962	271
16021	240	240	962	271
16031	240	240	962	271
16041	240	240	962	271
16051	240	240	962	271
16061	240	240	962	271
16071	240	240	962	271
16081	240	240	962	271
16091	240	240	962	271
16101	240	240	962	271
16111	240	240	962	271
16121	240	240	962	271
16131	240	240	962	271
16141	240	240	962	271
16151	240	240	962	271
16161	240	240	962	271
16171	240	240	962	271
16201	250	250	965	282
16211	250	250	965	282
16221	250	250	965	282
16231	250	250	965	282
16241	250	250	965	282
16250	250	250	965	282
16260	250	250	965	282
16270	250	250	965	282
16280	250	250	965	282
16290	250	250	965	282
16300	250	250	965	282
16310	250	250	965	282
16320	250	250	965	282
16330	250	250	965	282
16340	250	250	965	282
16350	250	250	965	282
16360	250	250	965	282
16370	250	250	965	282
16380	250	250	965	282
16390	250	250	965	282
16400	250	250	965	282
16410	250	250	965	282
16420	250	250	965	282
16430	250	250	965	282
16440	250	250	965	282
16580	220	220	1267	281
16590	220	220	1267	281
16600	220	220	1267	281
16610	220	220	1267	281
16620	220	220	1267	281
16630	220	220	1267	281
16640	220	220	1267	281
16650	220	220	1267	281
16660	220	220	1267	281
16670	220	220	1267	281
16680	220	220	1267	281
16690	220	220	1267	281
16700	220	220	1267	281
16710	220	220	1267	281
16720	220	220	1267	281
